course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
AJ,233,Police Organization &amp; Mgmt,"This course studies the principles of organization and administration of policing.  Overviews of operations and activities of various divisions, bureaus, training and selection procedures, planning, and research are discussed.",3,Administration of Justice,141565,Offered with: Hawaiʻi Community College; Prerequisites: placement in ENG 100
AJ,234,Police and Community Relations,This course acquaints the student with the role of police in government and the critical importance of effective community relations.  The dynamics of race relations and other current social problems that directly relate to the law enforcement community are explored.,3,Administration of Justice,141565,Offered With: Hawaiʻi Community College; Prerequisites: placement in ENG 100
AJ,250,Practice/Proced in Corrections,"This course will provide students with the basic training skills necessary to enhance their opportunities to secure a job in the high demand field of corrections. The course will focus on such areas as the history and philosophy of corrections, the role of the correctional officer, legal aspects of corrections, communication and writing skills, as well as basic security procedures.",3,Administration of Justice,141565,course_name: Practice/Proced in Corrections; course_number: AJ 250; offered_with: Hawaiʻi Community College; prerequisites: AJ 101 and AJ 150
AJ,256,Domest Violence &amp; Child Abuse,"This course focuses on domestic violence and child abuse.  The cycle of violence, causes, effects and symptoms of child abuse will be explored.  Legal, public policy, criminal justice, health and social services responses and interventions to family, child and intimate partner abuse will be examined.",3,Administration of Justice,141565,offered_with: Hawaiʻi Community College; prerequisites: placement in ENG 100
AJ,280,Current Issues,"Examination of recent textual materials, government reports, and problems within the criminal justice system and how it affects change within American society and the world. Includes preparation of a formal research essay.",3,Administration of Justice,141565,course_name: Current Issues; course_number: AJ 280; offered_with: Hawaiʻi Community College; prerequisites: AJ 101 and ENG 100
AJ,285,Narcotics &amp; Organized Crime,"The identification of narcotics and dangerous drugs, their manufacture and distribution, effects on society, applicable Federal and state laws. Vice and organized crime investigations, applicable laws, effects on individuals and society.",3,Administration of Justice,141565,"Offered with: Hawaiʻi Community College; Prerequisites: ENG 100/100T, ESL 100/100T, or concurrent enrollment"
AJ,290B,AJ Practicum I,"With the cooperation of public and nonprofit agencies in the community, advanced students are placed in responsible positions where they earn credits for work performed. For ADJ Majors only. Offered in conjunction with Hawaiʻi Community College.",3–6,Administration of Justice,141565,corequisites: AJ  280 or prior completion; prerequisites: AJ  101 and AJ  210 or AJ  256
AJ,290C,AJ Practicum II,"With the cooperation of public and nonprofit agencies in the community, advanced students are placed in responsible positions where they earn credits for work performed.",3–6,Administration of Justice,141565,Offered with: Hawaiʻi Community College; Prerequisites: AJ 290B
AJ,290D,AJ Practicum III,"With the cooperation of public and nonprofit agencies in the community, advanced students are placed in responsible positions where they earn credits for work performed.",3–6,Administration of Justice,141565,other: Offered in conjunction with Hawaiʻi Community College; prerequisites: AJ 290C
AJ,301,"Justice, Power, and Democracy","An examination of three central themes in the field of administration of justice: justice, power, and democracy. Topics covered include justice and injustice, power and powerlessness, and democracy and social change.",3,Administration of Justice,141565,"course_number: AJ 301; course_title: Justice, Power, and Democracy"
